EventID,FeatureID,LocationID,Species,Module,CoverClass,CoverClassAll,EditDate,Outfile
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer x freemanii,2,2,6,7/10/2023 21:08,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer x freemanii,3,3,7,7/10/2023 21:08,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer x freemanii,8,2,6,7/10/2023 21:08,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer x freemanii,9,2,7,7/10/2023 21:08,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230629,1049,NA,Acer negundo,2,3,8,6/29/2023 16:40,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230629,1049,NA,Acer negundo,3,2,8,6/29/2023 16:40,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230629,1049,NA,Acer negundo,8,2,7,6/29/2023 16:40,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230629,1049,NA,Acer negundo,9,2,7,6/29/2023 16:40,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd023 077/,970,NA,Acer negundo,2,6,6,7/7/2023 18:58,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd023 077/,970,NA,Acer negundo,3,3,6,7/7/2023 18:58,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970,NA,Acer negundo,8,6,6,7/10/2023 19:41,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970,NA,Acer negundo,9,5,5,7/10/2023 19:41,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd023 077/,1047,NA,Acer sp.,2,1,1,7/7/2023 15:11,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd023 077/,970,NA,Acer rubrum,2,1,1,7/7/2023 18:58,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd023 077/,970,NA,Acer rubrum,3,1,NA,7/7/2023 18:58,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd023 077/,970,NA,Acer saccharinum,2,NA,6,7/7/2023 18:58,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd023 077/,970,NA,Acer saccharinum,3,1,7,7/7/2023 18:58,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970,NA,Acer saccharinum,8,1,8,7/10/2023 19:41,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970,NA,Acer saccharinum,9,1,7,7/10/2023 19:41,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer saccharinum,2,NA,6,7/10/2023 21:08,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer saccharinum,3,2,7,7/10/2023 21:08,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer saccharinum,8,2,7,7/10/2023 21:08,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Acer saccharinum,9,2,7,7/10/2023 21:08,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230714,242VK2,NA,Aesculus glabra,3,2,2,7/14/2023 14:48,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230714,242VK2,NA,Aesculus glabra,8,4,4,7/14/2023 14:48,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230628,969,NA,Agrostic gigantea,3,5,5,6/28/2023 18:39,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230628,969,NA,Agrostic gigantea,4,4,4,6/28/2023 18:39,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230713,242VK2,NA,Agrostic gigantea,2,3,3,7/13/2023 12:03,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230714,242VK2,NA,Agrostic gigantea,3,3,3,7/14/2023 14:48,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230713,242VK2,NA,Agrimonia parviflora,2,5,5,7/13/2023 12:03,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230714,242VK2,NA,Agrimonia parviflora,3,4,4,7/14/2023 14:48,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230714,242VK2,NA,Agrimonia parviflora,8,4,4,7/14/2023 14:48,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230714,242VK2,NA,Agrimonia parviflora,9,4,4,7/14/2023 14:48,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230714,241VK4,NA,Agrimonia parviflora,1,3,3,7/14/2023 18:43,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230627,969,NA,Agrostis stolonifera,1,6,6,6/27/2023 18:43,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230628,969,NA,Agrostis stolonifera,3,6,6,6/28/2023 18:39,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230628,969,NA,Agrostis stolonifera,4,5,5,6/28/2023 18:39,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd023 077/,970,NA,Agrostis stolonifera,2,5,5,7/7/2023 18:58,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd023 077/,970,NA,Agrostis stolonifera,3,6,6,7/7/2023 18:58,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970,NA,Agrostis stolonifera,8,6,6,7/10/2023 19:41,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230710,970PV,CUVAWetlnd142,Agrostis stolonifera,8,5,5,7/10/2023 21:08,VIBI_herb_2023-08-14_113935.txt
CUVAWetlnd20230714,242VK2,NA,Agrostis stolonifera,8,2,2,7/14/2023 14:48,VIBI_herb_2023-08-14_113935.txt
